word,meaning,status,lessonNumber,tags,partOfSpeech,audioWordFilename,audioMeaningFilename,pinyin,source,notes,seenCount,correctCount,wrongCount,listenedSeconds,lastReviewedAt
才,only then,known,1,Bridge / grammar;clip-pack;LMS clip pack,,audio/words/才.mp3,audio/meanings/only-then.mp3,cái,LMS clip pack,High-reuse connector or function word that makes simple LMS stories less stiff.,0,0,0,0,2026-05-14T13:29:47.070Z
其实,actually,familiar,1,Bridge / grammar;clip-pack;LMS clip pack,,audio/words/其实.mp3,audio/meanings/actually.mp3,qí shí,LMS clip pack,High-reuse connector or function word that makes simple LMS stories less stiff.,0,0,0,0,2026-05-14T13:29:55.533Z
立刻,at once,known,1,Bridge / grammar;clip-pack;LMS clip pack,,audio/words/立刻.mp3,audio/meanings/at-once.mp3,lì kè,LMS clip pack,High-reuse connector or function word that makes simple LMS stories less stiff.,0,0,0,0,2026-05-14T13:29:52.740Z
突然,suddenly,known,1,Bridge / grammar;clip-pack;LMS clip pack,,audio/words/突然.mp3,audio/meanings/suddenly.mp3,tū rán,LMS clip pack,High-reuse connector or function word that makes simple LMS stories less stiff.,0,0,0,0,2026-05-14T13:29:57.967Z
刚刚,just now,known,1,Bridge / grammar;clip-pack;LMS clip pack,,audio/words/刚刚.mp3,audio/meanings/just-now.mp3,gāng gāng,LMS clip pack,High-reuse connector or function word that makes simple LMS stories less stiff.,0,0,0,0,2026-05-14T13:29:49.585Z
原来,it turns out,familiar,2,Bridge / grammar;clip-pack;LMS clip pack,,audio/words/原来.mp3,audio/meanings/it-turns-out.mp3,yuán lái,LMS clip pack,High-reuse connector or function word that makes simple LMS stories less stiff.,0,0,0,0,2026-05-14T13:34:21.299Z
之前,before,familiar,2,Bridge / grammar;clip-pack;LMS clip pack,,audio/words/之前.mp3,audio/meanings/before.mp3,zhī qián,LMS clip pack,High-reuse connector or function word that makes simple LMS stories less stiff.,0,0,0,0,2026-05-14T13:34:26.724Z
所有,all of,known,2,Bridge / grammar;clip-pack;LMS clip pack,,audio/words/所有.mp3,audio/meanings/all-of.mp3,suǒ yǒu,LMS clip pack,High-reuse connector or function word that makes simple LMS stories less stiff.,0,0,0,0,2026-05-14T13:34:16.135Z
任何,any,familiar,2,Bridge / grammar;clip-pack;LMS clip pack,,audio/words/任何.mp3,audio/meanings/any.mp3,rèn hé,LMS clip pack,High-reuse connector or function word that makes simple LMS stories less stiff.,0,0,0,0,2026-05-14T13:34:12.385Z
因此,therefore,familiar,2,Bridge / grammar;clip-pack;LMS clip pack,,audio/words/因此.mp3,audio/meanings/therefore.mp3,yīn cǐ,LMS clip pack,High-reuse connector or function word that makes simple LMS stories less stiff.,0,0,0,0,2026-05-14T13:34:18.257Z
虽然,although,known,3,Bridge / grammar;clip-pack;LMS clip pack,,audio/words/虽然.mp3,audio/meanings/although.mp3,suī rán,LMS clip pack,High-reuse connector or function word that makes simple LMS stories less stiff.,0,0,0,0,2026-05-14T13:34:37.232Z
而且,and also; moreover,known,3,Bridge / grammar;clip-pack;LMS clip pack,,audio/words/而且.mp3,audio/meanings/and-also;-moreover.mp3,ér qiě,LMS clip pack,High-reuse connector or function word that makes simple LMS stories less stiff.,0,0,0,0,2026-05-14T13:34:33.161Z
于是,so then,new,3,Bridge / grammar;clip-pack;LMS clip pack,,audio/words/于是.mp3,audio/meanings/so-then.mp3,yú shì,LMS clip pack,High-reuse connector or function word that makes simple LMS stories less stiff.,0,0,0,0,
被,passive marker,familiar,3,Bridge / grammar;clip-pack;LMS clip pack,,audio/words/被.mp3,audio/meanings/passive-marker.mp3,bèi,LMS clip pack,High-reuse connector or function word that makes simple LMS stories less stiff.,0,0,0,0,2026-05-14T13:34:30.781Z
通过,through; by means of,new,3,Bridge / grammar;clip-pack;LMS clip pack,,audio/words/通过.mp3,audio/meanings/through;-by-means-of.mp3,tōng guò,LMS clip pack,High-reuse connector or function word that makes simple LMS stories less stiff.,0,0,0,0,
按照,according to,familiar,4,Bridge / grammar;clip-pack;LMS clip pack,,audio/words/按照.mp3,audio/meanings/according-to.mp3,àn zhào,LMS clip pack,High-reuse connector or function word that makes simple LMS stories less stiff.,0,0,0,0,2026-05-14T13:34:52.176Z
直到,until,known,4,Bridge / grammar;clip-pack;LMS clip pack,,audio/words/直到.mp3,audio/meanings/until.mp3,zhí dào,LMS clip pack,High-reuse connector or function word that makes simple LMS stories less stiff.,0,0,0,0,2026-05-14T13:35:02.888Z
除了,except for,new,4,Bridge / grammar;clip-pack;LMS clip pack,,audio/words/除了.mp3,audio/meanings/except-for.mp3,chú le,LMS clip pack,High-reuse connector or function word that makes simple LMS stories less stiff.,0,0,0,0,
即使,even if,new,4,Bridge / grammar;clip-pack;LMS clip pack,,audio/words/即使.mp3,audio/meanings/even-if.mp3,jí shǐ,LMS clip pack,High-reuse connector or function word that makes simple LMS stories less stiff.,0,0,0,0,
曾经,once previously,familiar,4,Bridge / grammar;clip-pack;LMS clip pack,,audio/words/曾经.mp3,audio/meanings/once-previously.mp3,céng jīng,LMS clip pack,High-reuse connector or function word that makes simple LMS stories less stiff.,0,0,0,0,2026-05-14T13:34:56.066Z
仍然,still,new,5,Bridge / grammar;clip-pack;LMS clip pack,,audio/words/仍然.mp3,audio/meanings/still.mp3,réng rán,LMS clip pack,High-reuse connector or function word that makes simple LMS stories less stiff.,0,0,0,0,
一切,everything,known,5,Bridge / grammar;clip-pack;LMS clip pack,,audio/words/一切.mp3,audio/meanings/everything.mp3,yí qiè,LMS clip pack,High-reuse connector or function word that makes simple LMS stories less stiff.,0,0,0,0,2026-05-14T13:35:27.577Z
同时,at the same time,known,5,Bridge / grammar;clip-pack;LMS clip pack,,audio/words/同时.mp3,audio/meanings/at-the-same-time.mp3,tóng shí,LMS clip pack,High-reuse connector or function word that makes simple LMS stories less stiff.,0,0,0,0,2026-05-14T13:35:25.547Z
照顾,to take care of,familiar,5,Action verb;clip-pack;LMS clip pack,,audio/words/照顾.mp3,audio/meanings/to-take-care-of.mp3,zhào gù,LMS clip pack,晚上，他回家以后，还要照顾奶奶和妹妹。,0,0,0,0,2026-05-14T13:35:29.717Z
愣,to freeze for a moment,new,5,Action verb;clip-pack;LMS clip pack,,audio/words/愣.mp3,audio/meanings/to-freeze-for-a-moment.mp3,lèng,LMS clip pack,奶奶先愣了一下，然后轻轻笑了。,0,0,0,0,
松一口气,to feel relieved,new,6,Action verb;clip-pack;LMS clip pack,,audio/words/松一口气.mp3,audio/meanings/to-feel-relieved.mp3,sōng yì kǒu qì,LMS clip pack,"Reusable verb for work, training, choices, conflict, and character change.",0,0,0,0,
