chinese,english,targetWords,audioSentenceFilename,audioEnglishFilename,tags,difficulty
他现在才来。,Only now does he come.,才,audio/sentences/他现在才来。.mp3,audio/sentence_meanings/Only-now-does-he-come.mp3,LMS;clip-pack,2
其实，我知道。,"Actually, I know.",其实,audio/sentences/其实，我知道。.mp3,"audio/sentence_meanings/Actually,-I-know.mp3",LMS;clip-pack,2
他立刻回来。,He comes back at once.,立刻,audio/sentences/他立刻回来。.mp3,audio/sentence_meanings/He-comes-back-at-once.mp3,LMS;clip-pack,2
他突然停住。,He suddenly stops.,突然,audio/sentences/他突然停住。.mp3,audio/sentence_meanings/He-suddenly-stops.mp3,LMS;clip-pack,2
他刚刚回来。,He just came back.,刚刚,audio/sentences/他刚刚回来。.mp3,audio/sentence_meanings/He-just-came-back.mp3,LMS;clip-pack,2
原来是这样。,So that is how it is.,原来,audio/sentences/原来是这样。.mp3,audio/sentence_meanings/So-that-is-how-it-is.mp3,LMS;clip-pack,2
之前，他不知道。,"Before, he did not know.",之前,audio/sentences/之前，他不知道。.mp3,"audio/sentence_meanings/Before,-he-did-not-know.mp3",LMS;clip-pack,2
所有人都看着他。,Everyone looks at him.,所有,audio/sentences/所有人都看着他。.mp3,audio/sentence_meanings/Everyone-looks-at-him.mp3,LMS;clip-pack,2
他没有任何问题。,He does not have any problem.,任何,audio/sentences/他没有任何问题。.mp3,audio/sentence_meanings/He-does-not-have-any-problem.mp3,LMS;clip-pack,2
因此，他回家。,"Therefore, he goes home.",因此,audio/sentences/因此，他回家。.mp3,"audio/sentence_meanings/Therefore,-he-goes-home.mp3",LMS;clip-pack,2
虽然很累，他还是去。,"Although he is tired, he still goes.",虽然,audio/sentences/虽然很累，他还是去。.mp3,"audio/sentence_meanings/Although-he-is-tired,-he-still-goes.mp3",LMS;clip-pack,2
他会看，而且会听。,"He can look, and also can listen.",而且,audio/sentences/他会看，而且会听。.mp3,"audio/sentence_meanings/He-can-look,-and-also-can-listen.mp3",LMS;clip-pack,2
