"word","meaning","status","lessonNumber","tags","partOfSpeech","audioWordFilename","audioMeaningFilename","pinyin","source","notes"
"才","only then","new","1","Bridge / grammar;old bridge lexicon","","words/才.mp3","meanings/only then.mp3","cái","old bridge lexicon","High-reuse connector or function word that makes simple LMS stories less stiff."
"其实","actually","new","1","Bridge / grammar;old bridge lexicon","","words/其实.mp3","meanings/actually.mp3","qí shí","old bridge lexicon","High-reuse connector or function word that makes simple LMS stories less stiff."
"立刻","at once","new","1","Bridge / grammar;old bridge lexicon","","words/立刻.mp3","meanings/at once.mp3","lì kè","old bridge lexicon","High-reuse connector or function word that makes simple LMS stories less stiff."
"突然","suddenly","new","1","Bridge / grammar;old bridge lexicon","","words/突然.mp3","meanings/suddenly.mp3","tū rán","old bridge lexicon","High-reuse connector or function word that makes simple LMS stories less stiff."
"刚刚","just now","new","1","Bridge / grammar;old bridge lexicon","","words/刚刚.mp3","meanings/just now.mp3","gāng gāng","old bridge lexicon","High-reuse connector or function word that makes simple LMS stories less stiff."
"原来","it turns out","new","2","Bridge / grammar;old bridge lexicon","","words/原来.mp3","meanings/it turns out.mp3","yuán lái","old bridge lexicon","High-reuse connector or function word that makes simple LMS stories less stiff."
"之前","before","new","2","Bridge / grammar;old bridge lexicon","","words/之前.mp3","meanings/before.mp3","zhī qián","old bridge lexicon","High-reuse connector or function word that makes simple LMS stories less stiff."
"所有","all of","new","2","Bridge / grammar;old bridge lexicon","","words/所有.mp3","meanings/all of.mp3","suǒ yǒu","old bridge lexicon","High-reuse connector or function word that makes simple LMS stories less stiff."
"任何","any","new","2","Bridge / grammar;old bridge lexicon","","words/任何.mp3","meanings/any.mp3","rèn hé","old bridge lexicon","High-reuse connector or function word that makes simple LMS stories less stiff."
"因此","therefore","new","2","Bridge / grammar;old bridge lexicon","","words/因此.mp3","meanings/therefore.mp3","yīn cǐ","old bridge lexicon","High-reuse connector or function word that makes simple LMS stories less stiff."
"虽然","although","new","3","Bridge / grammar;old bridge lexicon","","words/虽然.mp3","meanings/although.mp3","suī rán","old bridge lexicon","High-reuse connector or function word that makes simple LMS stories less stiff."
"而且","and also; moreover","new","3","Bridge / grammar;old bridge lexicon","","words/而且.mp3","meanings/and also; moreover.mp3","ér qiě","old bridge lexicon","High-reuse connector or function word that makes simple LMS stories less stiff."
"于是","so then","new","3","Bridge / grammar;old bridge lexicon","","words/于是.mp3","meanings/so then.mp3","yú shì","old bridge lexicon","High-reuse connector or function word that makes simple LMS stories less stiff."
"被","passive marker","new","3","Bridge / grammar;old bridge lexicon","","words/被.mp3","meanings/passive marker.mp3","bèi","old bridge lexicon","High-reuse connector or function word that makes simple LMS stories less stiff."
"通过","through; by means of","new","3","Bridge / grammar;old bridge lexicon","","words/通过.mp3","meanings/through; by means of.mp3","tōng guò","old bridge lexicon","High-reuse connector or function word that makes simple LMS stories less stiff."
"按照","according to","new","4","Bridge / grammar;old bridge lexicon","","words/按照.mp3","meanings/according to.mp3","àn zhào","old bridge lexicon","High-reuse connector or function word that makes simple LMS stories less stiff."
